,LONGITUDE,TIME,LOCATION,CRIME,LATITUDE
202,-76.9932112244,evening,900 - 999 block of c street se,motor vehicle theft,38.8860251055
203,-76.9835470361,evening,1200 - 1299 block of mount olivet road ne,assault w/dangerous weapon,38.9096801026
204,-76.9853843213,midnight,1200 - 1299 block of southern avenue se,robbery,38.8336314126
205,-77.0296336169,midnight,1800 - 1899 block of 13th street nw,motor vehicle theft,38.914830273
206,-77.0251110522,midnight,4000  - 4099 block of georgia avenue nw,theft/other,38.940270809
207,-76.9949748897,day,400 - 499 block of 8th street se,theft f/auto,38.8832235876
208,-76.9986048962,day,1300 - 1399 block of 4th street ne,theft/other,38.9098434028
209,-76.9938052544,day,800 - 899 block of crittenden street ne,theft f/auto,38.947281788
210,-77.0175583548,evening,400 - 497 block of l street nw,theft f/auto,38.9037254238
211,-77.0519060013,evening,2600 - 2649 block of connecticut avenue nw,theft/other,38.9241911629
212,-77.0253882636,day,4100  - 4199 block of georgia avenue nw,theft/other,38.9413337274
213,-76.9908949598,midnight,1100 - 1199 block of pennsylvania avenue se,robbery,38.8825116783
214,-77.0209128801,day,600 - 699 block of k street nw,theft/other,38.9025177521
215,-76.9973139237,evening,600 - 699 block of h street ne,theft f/auto,38.9001954371
216,-77.0261931863,midnight,3500 - 3699 block of rock creek church road nw,motor vehicle theft,38.9344782368
217,-77.0219165566,evening,700 - 799 block of 7th street nw,theft/other,38.8991297051
218,-76.9971570051,evening,500 - 799 block of rhode island avenue ne,motor vehicle theft,38.9209329952
219,-77.0349189204,midnight,1400 - 1599 block of oglethorpe street nw,theft f/auto,38.9612789177
220,-76.9752054977,day,2000 - 2199 block of franklin street ne,motor vehicle theft,38.9255693242
221,-76.9258890481,evening,5200 - 5299 block of hayes street ne,motor vehicle theft,38.8997426876
222,-77.0280895894,evening,2000 - 2099 block of 12th street nw,theft f/auto,38.9175511707
223,-77.0275648819,evening,1100 - 1199 block of k street nw,theft f/auto,38.902516372
224,-77.0280895894,evening,2000 - 2099 block of 12th street nw,theft f/auto,38.9175511707
225,-77.0318199318,day,1326 - 1399 block of park road nw,theft/other,38.9305942609
226,-76.9903135821,day,1000 - 1249 block of brentwood road ne,theft/other,38.9201485438
227,-76.9439501338,evening,4000 - 4199 block of hayes street ne,robbery,38.8997316042
228,-77.0259863335,day,1100 - 1199 block of 10th street nw,theft/other,38.9049039473
229,-77.0408588935,evening,1130 - 1199 block of connecticut avenue nw,theft/other,38.9051969682
230,-77.0402071669,evening,1700 - 1799 block of swann street nw,motor vehicle theft,38.914827113
231,-76.9746449978,day,1900 - 2199 block of ridgecrest court se,assault w/dangerous weapon,38.8478088733
232,-76.9374979742,midnight,4400 - 4499 block of falls terrace se,assault w/dangerous weapon,38.8824592759
233,-77.0355257479,midnight,1500 - 1599 block of swann street nw,theft f/auto,38.9148286301
234,-76.9502869782,day,3900 - 3999 block of burns court se,motor vehicle theft,38.8884109524
235,-77.0319619643,day,1700 - 1720 block of 14th street nw,motor vehicle theft,38.912973942
